NumeroComprobante,FechaFactura,IdItem,NombreProducto,Descripcion,Cantidad,Precio,Total
B0200003419,2026-06-11,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",1,1500.0,1500.0
B0200003420,2026-06-11,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,,1,33000.0,30525.0
B0200003420,2026-06-11,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003420,2026-06-11,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003420,2026-06-11,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003421,2026-06-12,1458,TOWN ACE TRASERA TUBO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003422,2026-06-12,619,KIT-COMPLETA DEFENSA HIJET,,1,29000.0,25502.6
B0200003422,2026-06-12,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003422,2026-06-12,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003422,2026-06-12,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003423,2026-06-12,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,DOBLE CABINA,1,33000.0,30525.0
B0200003423,2026-06-12,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003423,2026-06-12,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003423,2026-06-12,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003424,2026-06-13,337,INSTALACION,DEFENSA TRASERA TOWN ACE,1,1500.0,1500.0
B0200003425,2026-06-13,1092,JUEGO PLATANERA COMPLETO MODERNO 2024-2025,,1,29500.0,28025.0
B0200003425,2026-06-13,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003425,2026-06-13,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003426,2026-06-13,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,1 CABINA,1,33000.0,30525.0
B0200003426,2026-06-13,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003426,2026-06-13,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003426,2026-06-13,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003427,2026-06-15,607,KIT DEFENSA NV 200 COMPLETA,,1,33000.0,31350.0
B0200003427,2026-06-15,1104,NV 200 PORTA ESCALERA CON SEGURIDAD,,1,16000.0,16000.0
B0200003427,2026-06-15,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003427,2026-06-15,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003428,2026-06-15,309,REPARACION GRADO (B),FRENTE KIA,1,8500.0,8500.0
B0200003428,2026-06-15,337,INSTALACION,,1,1500.0,1500.0
B0200003429,2026-06-15,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,1 CABINA,1,33000.0,30525.0
B0200003429,2026-06-15,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003429,2026-06-15,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003430,2026-06-15,474,HYUNDAI PORTER KIT DEFENSA COMPLETA,1 CABINA,1,33000.0,36019.5
B0200003430,2026-06-15,800,PORTA PIES PARA CAMION,,1,4000.0,4720.0
B0200003430,2026-06-15,802,PROTECTOR DE BATERIA,,1,3500.0,4130.0
B0200003430,2026-06-15,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,885.0
B0200003430,2026-06-15,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,5310.0
B0200003431,2026-06-15,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003432,2026-06-16,619,KIT-COMPLETA DEFENSA HIJET,AÑO 2020,1,29000.0,25502.6
B0200003432,2026-06-16,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003432,2026-06-16,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003432,2026-06-16,1471,HIJET SEGURIDAD PARA LUCES TRASERA,,1,3000.0,3000.0
B0200003432,2026-06-16,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003433,2026-06-16,746,KIT ISUZU CARA ANCHA DEFENSA DELANTERA,,2,25000.0,39000.0
B0200003433,2026-06-16,800,PORTA PIES PARA CAMION,,2,4000.0,8000.0
B0200003433,2026-06-16,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",2,1500.0,3000.0
B0200003434,2026-06-16,634,GOMAS,"56 PULGADAS 
 
4 DE ANCHO",1,1700.0,1700.0
B0200003435,2026-06-16,468,SOLDADURA,ESTRIBOS TOYOTA HIACE,1,1000.0,1180.0
B0200003436,2026-06-16,1471,HIJET SEGURIDAD PARA LUCES TRASERA,,1,3000.0,3000.0
B0200003437,2026-06-16,578,REPARACION GRADO (A),KIA 1 CABINA JUEGO DE DEFENSA,1,12600.0,12600.0
B0200003438,2026-06-15,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,|  1 CABINA,1,33000.0,28502.1
B0200003438,2026-06-15,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003438,2026-06-15,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003438,2026-06-15,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003439,2026-06-17,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,1 CABINA,1,33000.0,28502.1
B0200003439,2026-06-17,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003439,2026-06-17,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003439,2026-06-17,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003440,2026-06-17,746,KIT ISUZU CARA ANCHA DEFENSA DELANTERA,2 OREJITAS ADICCIONALES PARA LUCES ALOGENA,2,26000.0,58292.0
B0200003440,2026-06-17,800,PORTA PIES PARA CAMION,,2,4000.0,9440.0
B0200003440,2026-06-17,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",2,1500.0,3540.0
B0200003441,2026-06-17,578,REPARACION GRADO (A),FRENTE TOWN ACE,1,4500.0,4500.0
B0200003442,2026-06-18,634,GOMAS,ESTRIBO,1,500.0,500.0
B0200003443,2026-06-18,474,HYUNDAI PORTER KIT DEFENSA COMPLETA,DOBLE CABINA,1,33000.0,30501.9
B0200003443,2026-06-18,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003443,2026-06-18,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003443,2026-06-18,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003444,2026-06-18,320,TOYOTA HILUX KIT DEFENSA DELANTERA,,1,20000.0,19000.0
B0200003444,2026-06-18,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",1,1500.0,1500.0
B0200003445,2026-06-19,328,CAMION DAIHATSU CARA ANCHA KIT DEFENSA DELANTERA,VOLTEO,1,25000.0,23750.0
B0200003445,2026-06-19,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003445,2026-06-19,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",1,1500.0,1500.0
B0200003446,2026-06-20,1101,ISUZU DEFENSA MODERNA DELANTERA CARA ESTRECHA 69,,1,24000.0,22800.0
B0200003446,2026-06-20,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003446,2026-06-20,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",1,1500.0,1500.0
B0200003447,2026-06-20,1104,NV 200 PORTA ESCALERA CON SEGURIDAD,,1,16000.0,15200.0
B0200003447,2026-06-20,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",1,1500.0,1500.0
B0200003448,2026-06-20,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,,1,33000.0,30525.0
B0200003448,2026-06-20,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003448,2026-06-20,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003448,2026-06-20,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003449,2026-06-20,863,DEFENSA UNIVERSAL DELANTERA (CACHITO),,1,16500.0,15675.0
B0200003449,2026-06-20,768,NISSAN FRONTIER ESRTIBOS,,1,18500.0,18278.0
B0200003449,2026-06-20,236,TUBO CABINA NISSAN FRONTIER,,1,15500.0,15500.0
B0200003449,2026-06-20,282,MATERIALES DE INSTALACION (1 SOLA PIEZA),"Materiales de instalacion (---------------------

-Garantia contra Oxido de 24 meses.
-Pintura automotriz (Urethano): Garantiza un acabado
excelente y duradero.",1,1500.0,1500.0
B0200003450,2026-06-20,619,KIT-COMPLETA DEFENSA HIJET,,1,29000.0,27550.0
B0200003450,2026-06-20,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003450,2026-06-20,1102,HIJET PORTA ESCALERA CON SEGURIDAD MODERNO,,1,15500.0,15500.0
B0200003450,2026-06-20,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003450,2026-06-20,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003451,2026-06-20,767,JUEGO DEFENSA DAIHATSU MIRA 2018-2021,,1,29000.0,27550.0
B0200003451,2026-06-20,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003451,2026-06-20,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003452,2026-06-18,619,KIT-COMPLETA DEFENSA HIJET,,1,29000.0,27550.0
B0200003452,2026-06-18,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003452,2026-06-18,1102,HIJET PORTA ESCALERA CON SEGURIDAD MODERNO,,1,15500.0,15500.0
B0200003452,2026-06-18,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003452,2026-06-18,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003453,2026-06-18,738,FRENTE PLATANERA DAIHATSU MODERNA.,,1,15000.0,14250.0
B0200003453,2026-06-18,740,TRASERA PLATANERA DAIHATSU,,1,10000.0,10000.0
B0200003453,2026-06-18,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003453,2026-06-18,562,Materiales de instalacion 2 piezas,"---------------------

Que incluye el KIT!!!!


1-Garantía de 3 años contra oxidación: Te ofrece tranquilidad y confianza.

2-Instalación completa: Asegura un montaje adecuado y profesional.

3-Pintura automotriz (Urethano): Garantiza un acabado excelente y duradero.",1,2500.0,2500.0
B0200003454,2026-06-22,619,KIT-COMPLETA DEFENSA HIJET,,1,29000.0,27550.0
B0200003454,2026-06-22,1420,HIJET TRASERO EXTRA REFORZADO,,1,3000.0,3000.0
B0200003454,2026-06-22,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003454,2026-06-22,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003455,2026-06-23,634,GOMAS,,1,500.0,500.0
B0200003456,2026-06-23,627,KIT COMPLETO KIA 2700-BONGO 2024!!!,,1,33000.0,28502.1
B0200003456,2026-06-23,800,PORTA PIES PARA CAMION,,1,4000.0,4000.0
B0200003456,2026-06-23,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003456,2026-06-23,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003457,2026-06-23,611,KIT-COMPLETA NISSAN NV 350 MODERNA,"TECHO BAJITO 

 DEFENSA DELANTERA ALTA

TRASERO REFORZADO",1,61000.0,56504.3
B0200003457,2026-06-23,880,NISSAN NV350 PORTA ESCALERA,,1,23000.0,23000.0
B0200003457,2026-06-23,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003457,2026-06-23,87,Materiales de instalacion,"---------------------Que incluye el KIT DE DEFENSA!!!!
1-Garantía de 2 años contra oxidación Te ofrece tranquilidad y confianza.
2-Instalación completa Asegura un montaje adecuado y profesional.
3-Pintura automotriz (Urethano) Garantiza un acabado excelente y duradero.",1,4500.0,4500.0
B0200003458,2026-06-24,337,INSTALACION,DEFENSA TRASERA TOWN ACE,1,1000.0,1000.0
B0200003459,2026-06-24,337,INSTALACION,FRENTE PLATANERA HIJET,1,1000.0,1000.0
B0200003460,2026-06-24,683,KIT DEFENSA MIRA 2013-2017 DELANTERA & TRASERA,,1,25000.0,23750.0
B0200003460,2026-06-24,761,BOLA DE JALON 2000 LB (opcional),,1,750.0,750.0
B0200003460,2026-06-24,562,Materiales de instalacion 2 piezas,"---------------------

Que incluye el KIT!!!!


1-Garantía de 3 años contra oxidación: Te ofrece tranquilidad y confianza.

2-Instalación completa: Asegura un montaje adecuado y profesional.

3-Pintura automotriz (Urethano): Garantiza un acabado excelente y duradero.",1,2500.0,2500.0
